样本ID,品牌,车系,分析对象名称,车型价格范围,价格段,能源形式,车身形式,级别,座位数,地区,调查时间,年龄段,性别,职业,家庭年收入区间,家庭结构,家庭成员,是否有孩,是否有老人同住/常乘坐,当前用车状态,首购/增购/换购,原有车型/品牌,购车预算,购车阶段,决策周期,主要决策人,决策影响人,购车动因,主要使用场景,信息来源,是否试驾,最关注因素,关注理由,主要顾虑,对比车型,最终倾向,是否成交,流失原因,开放题摘要,沟通触点建议,数据性质,拟定依据,参考来源标题,参考来源URL
S062-08,蔚来,蔚来ES9,蔚来ES9,49.80-62.80万,50-60万,纯电动,SUV,大型,6座,上海市,2026-07-19,41-45岁,男,企业高管/企业主,100万以上,已婚一孩,2人,是,否,BBA/传统豪华车,换购,BBA/传统豪华车,40-70万,初步了解,2个月以上,家庭共同决策,子女；车主评价；配偶,空间升级；换新能源；家庭出行升级,城市通勤；周末短途,小红书/抖音内容；朋友/同事推荐,是,价格权益；低使用成本；空间舒适,希望兼顾家人乘坐和周末出行；希望同预算下配置和权益更划算,权益透明度；补能是否方便；售后网络是否成熟,岚图泰山；理想L9,价格合适会买,待定,,受访者关注价格权益，主要用于城市通勤；同时对权益透明度仍有疑问，决策中会对比岚图泰山；理想L9。,先围绕城市通勤场景切入，再把价格权益转化为可感知体验；对权益透明度需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S063-01,LUXEED智界,智界V9,智界V9,38.98-51.98万,40-50万,增程式插混,MPV,中大型,7座,上海市,2026-08-10,31-35岁,女,中基层管理者,30-50万,已婚二孩及以上,5人及以上,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,已试驾,2周-1个月,家庭共同决策,父母；KOL/博主；车主评价,品牌升级；空间升级；换新能源,家庭出行；老人小孩乘坐；接送孩子,懂车帝/汽车之家口碑；朋友/同事推荐；车主群/社群讨论,是,售后服务；乘坐舒适；豪华感/质感,希望在预算内获得更稳定的综合体验,保值率；权益透明度；价格权益是否稳定,腾势D9；岚图梦想家,继续比较,待定,,受访者关注售后服务，主要用于家庭出行；同时对保值率仍有疑问，决策中会对比腾势D9；岚图梦想家。,先围绕家庭出行场景切入，再把售后服务转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S063-02,LUXEED智界,智界V9,智界V9,38.98-51.98万,40-50万,增程式插混,MPV,中大型,7座,四川省,2026-06-11,46岁以上,女,企业高管/企业主,50-80万,三代同堂,3人,是,是,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,对比评估,2周-1个月,本人+配偶,KOL/博主；子女；车主评价,空间升级；减少里程焦虑,老人小孩乘坐；周末短途；家庭出行,KOL评测；车主群/社群讨论；朋友/同事推荐,是,售后服务；乘坐舒适；品牌认知,在意品牌形象和商务/社交场景认可度,第三排舒适性；增程/插混系统可靠性,岚图梦想家；极氪009,倾向本品,待定,,受访者关注售后服务，主要用于老人小孩乘坐；同时对第三排舒适性仍有疑问，决策中会对比岚图梦想家；极氪009。,先围绕老人小孩乘坐场景切入，再把售后服务转化为可感知体验；对第三排舒适性需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S063-03,LUXEED智界,智界V9,智界V9,38.98-51.98万,40-50万,增程式插混,MPV,中大型,7座,江苏省,2026-07-20,31-35岁,不便透露,私营业主/个体经营者,50-80万,三代同堂,1人,是,是,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,已下订,1-2个月,本人+配偶,父母；配偶,通勤代步；长途/自驾；减少里程焦虑,城市通勤；周末短途,品牌直营店/4S店；车主群/社群讨论；KOL评测,是,补能便利；价格权益；安全性,希望同预算下配置和权益更划算,增程/插混系统可靠性；竞品是否更强；价格权益是否稳定,极氪009；赛那SIENNA；雷克萨斯RX,倾向本品,待定,,受访者关注补能便利，主要用于城市通勤；同时对增程/插混系统可靠性仍有疑问，决策中会对比极氪009；赛那SIENNA；雷克萨斯RX。,先围绕城市通勤场景切入，再把补能便利转化为可感知体验；对增程/插混系统可靠性需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S063-04,LUXEED智界,智界V9,智界V9,38.98-51.98万,40-50万,增程式插混,MPV,中大型,7座,安徽省,2026-08-16,31-35岁,女,金融/地产从业者,50-80万,三代同堂,4人,是,是,无车,首购,无车,30-60万,已试驾,2周-1个月,家庭共同决策,车主评价；配偶,通勤代步；商务接待；品牌升级,老人小孩乘坐；多成员家庭出行,KOL评测；懂车帝/汽车之家口碑,否,乘坐舒适；保值率；价格权益,希望同预算下配置和权益更划算,保值率；竞品是否更强,赛那SIENNA；雷克萨斯RX,倾向本品,待定,,受访者关注乘坐舒适，主要用于老人小孩乘坐；同时对保值率仍有疑问，决策中会对比赛那SIENNA；雷克萨斯RX。,先围绕老人小孩乘坐场景切入，再把乘坐舒适转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S063-05,LUXEED智界,智界V9,智界V9,38.98-51.98万,40-50万,增程式插混,MPV,中大型,7座,陕西省,2026-06-01,31-35岁,男,企业高管/企业主,50-80万,已婚一孩,1人,是,否,无车,首购,无车,30-60万,已购/用车复盘,1-2个月,家庭共同决策,车主评价；KOL/博主,减少里程焦虑；家庭出行升级；品牌升级,多成员家庭出行；城市通勤；周末短途,品牌直营店/4S店；车主群/社群讨论,否,品牌认知；补能便利；第三排/多人乘坐,在意品牌形象和商务/社交场景认可度,售后维修成本；用车能耗/续航,雷克萨斯RX；腾势D9,已购,是,,受访者关注品牌认知，主要用于多成员家庭出行；同时对售后维修成本仍有疑问，决策中会对比雷克萨斯RX；腾势D9。,先围绕多成员家庭出行场景切入，再把品牌认知转化为可感知体验；对售后维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S063-06,LUXEED智界,智界V9,智界V9,38.98-51.98万,40-50万,增程式插混,MPV,中大型,7座,湖南省,2026-08-08,36-40岁,男,金融/地产从业者,80-100万,已婚二孩及以上,3人,是,是,家中已有新能源车,增购,家中已有新能源车,30-60万,初步了解,1-2个月,家庭共同决策,车主评价；子女；KOL/博主,长途/自驾；家庭出行升级,多成员家庭出行；长途自驾；城市通勤,小红书/抖音内容；车主群/社群讨论；朋友/同事推荐,是,安全性；家庭适配；豪华感/质感,希望兼顾家人乘坐和周末出行,第三排舒适性；售后维修成本；保值率,腾势D9；岚图梦想家；极氪009,倾向本品,待定,,受访者关注安全性，主要用于多成员家庭出行；同时对第三排舒适性仍有疑问，决策中会对比腾势D9；岚图梦想家；极氪009。,先围绕多成员家庭出行场景切入，再把安全性转化为可感知体验；对第三排舒适性需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S063-07,LUXEED智界,智界V9,智界V9,38.98-51.98万,40-50万,增程式插混,MPV,中大型,7座,广东省,2026-08-11,41-45岁,男,企业高管/企业主,30-50万,已婚一孩,5人及以上,是,是,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,已购/用车复盘,2个月以上,本人+配偶,配偶；父母,商务接待；减少里程焦虑；通勤代步,家庭出行；城市通勤,懂车帝/汽车之家口碑；朋友/同事推荐；品牌直营店/4S店,否,售后服务；家庭适配；补能便利；保值率,希望兼顾家人乘坐和周末出行,用车能耗/续航；保值率；高端服务体验,岚图梦想家；极氪009,转向竞品,否,竞品价格更低,受访者关注售后服务，主要用于家庭出行；同时对用车能耗/续航仍有疑问，决策中会对比岚图梦想家；极氪009。,先围绕家庭出行场景切入，再把售后服务转化为可感知体验；对用车能耗/续航需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S063-08,LUXEED智界,智界V9,智界V9,38.98-51.98万,40-50万,增程式插混,MPV,中大型,7座,上海市,2026-06-03,36-40岁,男,中基层管理者,50-80万,已婚一孩,4人,是,是,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,流失/转向竞品,2周-1个月,家庭共同决策,车主评价；子女；配偶,商务接待；长途/自驾,多成员家庭出行；家庭出行；长途自驾,车主群/社群讨论；品牌直营店/4S店；朋友/同事推荐,是,价格权益；第三排/多人乘坐；智能座舱,希望同预算下配置和权益更划算,竞品是否更强；增程/插混系统可靠性,极氪009；赛那SIENNA,倾向本品,待定,,受访者关注价格权益，主要用于多成员家庭出行；同时对竞品是否更强仍有疑问，决策中会对比极氪009；赛那SIENNA。,先围绕多成员家庭出行场景切入，再把价格权益转化为可感知体验；对竞品是否更强需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S064-01,长城汽车,坦克700新能源,坦克700新能源,42.80-70.00万,50-60万,非增程式插混,SUV,中大型,5座,安徽省,2026-07-24,41-45岁,女,企业高管/企业主,100万以上,三代同堂,2人,是,是,家中已有燃油车,增购,家中已有燃油车,40-70万,对比评估,2个月以上,家庭共同决策,车主评价；子女；父母,长途/自驾；换新能源；品牌升级,家庭出行；周末短途,车主群/社群讨论；KOL评测,是,价格权益；安全性；补能便利；品牌认知,在意品牌形象和商务/社交场景认可度；希望同预算下配置和权益更划算,价格是否值得；用车能耗/续航；权益透明度,途锐；雷克萨斯RX,转向竞品,否,竞品价格更低,受访者关注价格权益，主要用于家庭出行；同时对价格是否值得仍有疑问，决策中会对比途锐；雷克萨斯RX。,先围绕家庭出行场景切入，再把价格权益转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S064-02,长城汽车,坦克700新能源,坦克700新能源,42.80-70.00万,50-60万,非增程式插混,SUV,中大型,5座,浙江省,2026-07-26,36-40岁,男,金融/地产从业者,100万以上,三代同堂,4人,是,是,BBA/传统豪华车,换购,BBA/传统豪华车,40-70万,已购/用车复盘,1-2个月,家庭共同决策,车主评价；子女；KOL/博主,空间升级；家庭出行升级,长途自驾；老人小孩乘坐,车主群/社群讨论；KOL评测,是,豪华感/质感；保值率；空间舒适；智能座舱,希望兼顾家人乘坐和周末出行,权益透明度；价格权益是否稳定,雷克萨斯RX；极氪8X,倾向本品,待定,,受访者关注豪华感/质感，主要用于长途自驾；同时对权益透明度仍有疑问，决策中会对比雷克萨斯RX；极氪8X。,先围绕长途自驾场景切入，再把豪华感/质感转化为可感知体验；对权益透明度需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S064-03,长城汽车,坦克700新能源,坦克700新能源,42.80-70.00万,50-60万,非增程式插混,SUV,中大型,5座,湖南省,2026-06-08,46岁以上,女,私营业主/个体经营者,100万以上,三代同堂,2人,是,是,无车,首购,无车,40-70万,对比评估,1-2个月,本人+配偶,父母；配偶,减少里程焦虑；家庭品质升级；通勤代步,周末短途；长途自驾,车主群/社群讨论；懂车帝/汽车之家口碑；朋友/同事推荐,否,乘坐舒适；价格权益；品牌认知；售后服务,在意品牌形象和商务/社交场景认可度；希望同预算下配置和权益更划算,增程/插混系统可靠性；高端服务体验,极氪8X；奥迪A7；普拉多,倾向本品,待定,,受访者关注乘坐舒适，主要用于周末短途；同时对增程/插混系统可靠性仍有疑问，决策中会对比极氪8X；奥迪A7；普拉多。,先围绕周末短途场景切入，再把乘坐舒适转化为可感知体验；对增程/插混系统可靠性需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S064-04,长城汽车,坦克700新能源,坦克700新能源,42.80-70.00万,50-60万,非增程式插混,SUV,中大型,5座,北京市,2026-06-28,41-45岁,女,企业高管/企业主,100万以上,已婚二孩及以上,4人,是,否,家中已有新能源车,增购,家中已有新能源车,40-70万,已购/用车复盘,2周-1个月,家庭共同决策,父母；KOL/博主；车主评价,商务接待；家庭品质升级,城市通勤；长途自驾；家庭出行,小红书/抖音内容；品牌直营店/4S店；懂车帝/汽车之家口碑,是,保值率；乘坐舒适；豪华感/质感,希望在预算内获得更稳定的综合体验,售后维修成本；权益透明度,奥迪A7；普拉多,倾向本品,待定,,受访者关注保值率，主要用于城市通勤；同时对售后维修成本仍有疑问，决策中会对比奥迪A7；普拉多。,先围绕城市通勤场景切入，再把保值率转化为可感知体验；对售后维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S064-05,长城汽车,坦克700新能源,坦克700新能源,42.80-70.00万,50-60万,非增程式插混,SUV,中大型,5座,湖南省,2026-08-18,41-45岁,男,中基层管理者,50-80万,已婚一孩,1人,是,否,家中已有燃油车,增购,家中已有燃油车,40-70万,对比评估,2个月以上,本人,配偶；父母,长途/自驾；品牌升级,长途自驾；城市通勤,KOL评测；车主群/社群讨论；小红书/抖音内容,否,补能便利；家庭适配；售后服务；安全性,希望兼顾家人乘坐和周末出行,用车能耗/续航；竞品是否更强；价格是否值得,普拉多；途锐,已下订,是,,受访者关注补能便利，主要用于长途自驾；同时对用车能耗/续航仍有疑问，决策中会对比普拉多；途锐。,先围绕长途自驾场景切入，再把补能便利转化为可感知体验；对用车能耗/续航需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S064-06,长城汽车,坦克700新能源,坦克700新能源,42.80-70.00万,50-60万,非增程式插混,SUV,中大型,5座,山东省,2026-08-19,36-40岁,男,私营业主/个体经营者,80-100万,已婚二孩及以上,1人,是,否,BBA/传统豪华车,换购,BBA/传统豪华车,40-70万,初步了解,2个月以上,家庭共同决策,配偶；子女；父母,通勤代步；减少里程焦虑；家庭出行升级,长途自驾；老人小孩乘坐,品牌直营店/4S店；懂车帝/汽车之家口碑；KOL评测,是,售后服务；价格权益；保值率,希望同预算下配置和权益更划算,高端服务体验；增程/插混系统可靠性；售后维修成本,途锐；雷克萨斯RX；极氪8X,倾向本品,待定,,受访者关注售后服务，主要用于长途自驾；同时对高端服务体验仍有疑问，决策中会对比途锐；雷克萨斯RX；极氪8X。,先围绕长途自驾场景切入，再把售后服务转化为可感知体验；对高端服务体验需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S064-07,长城汽车,坦克700新能源,坦克700新能源,42.80-70.00万,50-60万,非增程式插混,SUV,中大型,5座,浙江省,2026-07-28,36-40岁,女,金融/地产从业者,80-100万,已婚无孩,3人,否,是,BBA/传统豪华车,换购,BBA/传统豪华车,40-70万,对比评估,1-2个月,本人,KOL/博主；朋友/同事；车主评价,品牌升级；商务接待,家庭出行；长途自驾,KOL评测；懂车帝/汽车之家口碑,是,补能便利；品牌认知；保值率,在意品牌形象和商务/社交场景认可度,增程/插混系统可靠性；价格权益是否稳定,雷克萨斯RX；极氪8X,继续比较,待定,,受访者关注补能便利，主要用于家庭出行；同时对增程/插混系统可靠性仍有疑问，决策中会对比雷克萨斯RX；极氪8X。,先围绕家庭出行场景切入，再把补能便利转化为可感知体验；对增程/插混系统可靠性需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S064-08,长城汽车,坦克700新能源,坦克700新能源,42.80-70.00万,50-60万,非增程式插混,SUV,中大型,5座,福建省,2026-08-21,36-40岁,女,私营业主/个体经营者,100万以上,已婚二孩及以上,1人,是,否,家中已有新能源车,增购,家中已有新能源车,40-70万,流失/转向竞品,1-2个月,家庭共同决策,子女；KOL/博主；配偶,家庭出行升级；家庭品质升级,家庭出行；周末短途,懂车帝/汽车之家口碑；车主群/社群讨论；KOL评测,是,家庭适配；品牌认知；豪华感/质感；乘坐舒适,希望兼顾家人乘坐和周末出行；在意品牌形象和商务/社交场景认可度,权益透明度；售后维修成本,极氪8X；奥迪A7,转向竞品,否,家人更认可竞品,受访者关注家庭适配，主要用于家庭出行；同时对权益透明度仍有疑问，决策中会对比极氪8X；奥迪A7。,先围绕家庭出行场景切入，再把家庭适配转化为可感知体验；对权益透明度需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S065-01,大众,途锐,途锐,50.88-79.38万,60-70万,传统燃料,SUV,中大型,6座,四川省,2026-08-26,41-45岁,女,金融/地产从业者,80-100万,已婚一孩,3人,是,是,家中已有燃油车,增购,家中已有燃油车,50-80万,对比评估,2个月以上,家庭共同决策,配偶；子女；KOL/博主,品牌升级；商务接待,周末短途；长途自驾；多成员家庭出行,朋友/同事推荐；车主群/社群讨论；懂车帝/汽车之家口碑,是,保值率；乘坐舒适；空间舒适,希望兼顾家人乘坐和周末出行,价格是否值得；售后维修成本,奥迪A7；奥迪Q7,倾向本品,待定,,受访者关注保值率，主要用于周末短途；同时对价格是否值得仍有疑问，决策中会对比奥迪A7；奥迪Q7。,先围绕周末短途场景切入，再把保值率转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S065-02,大众,途锐,途锐,50.88-79.38万,60-70万,传统燃料,SUV,中大型,6座,重庆市,2026-07-01,46岁以上,男,企业高管/企业主,100万以上,三代同堂,3人,是,是,BBA/传统豪华车,换购,BBA/传统豪华车,50-80万,初步了解,2周-1个月,父母参与,车主评价；子女；父母,通勤代步；品牌升级；换新能源,家庭出行；城市通勤,品牌直营店/4S店；车主群/社群讨论,否,价格权益；保值率；驾驶质感；乘坐舒适,希望同预算下配置和权益更划算,售后维修成本；高端服务体验,奥迪Q7；坦克700新能源,倾向本品,待定,,受访者关注价格权益，主要用于家庭出行；同时对售后维修成本仍有疑问，决策中会对比奥迪Q7；坦克700新能源。,先围绕家庭出行场景切入，再把价格权益转化为可感知体验；对售后维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S065-03,大众,途锐,途锐,50.88-79.38万,60-70万,传统燃料,SUV,中大型,6座,陕西省,2026-08-05,36-40岁,女,企业高管/企业主,80-100万,已婚一孩,1人,是,是,家中已有燃油车,增购,家中已有燃油车,50-80万,初步了解,2个月以上,家庭共同决策,子女；KOL/博主,通勤代步；家庭出行升级,城市通勤；长途自驾,车主群/社群讨论；懂车帝/汽车之家口碑；品牌直营店/4S店,是,豪华感/质感；可靠性；家庭适配,希望兼顾家人乘坐和周末出行,权益透明度；第三排舒适性；油耗是否偏高,坦克700新能源；发现；雷克萨斯RX,继续比较,待定,,受访者关注豪华感/质感，主要用于城市通勤；同时对权益透明度仍有疑问，决策中会对比坦克700新能源；发现；雷克萨斯RX。,先围绕城市通勤场景切入，再把豪华感/质感转化为可感知体验；对权益透明度需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S065-04,大众,途锐,途锐,50.88-79.38万,60-70万,传统燃料,SUV,中大型,6座,河南省,2026-06-11,41-45岁,女,金融/地产从业者,50-80万,已婚二孩及以上,2人,是,否,家中已有新能源车,增购,家中已有新能源车,50-80万,已试驾,1-2个月,本人+配偶,配偶；车主评价,品牌升级；家庭出行升级,城市通勤；周末短途；家庭出行,懂车帝/汽车之家口碑；品牌直营店/4S店,是,安全性；空间舒适；价格权益,希望兼顾家人乘坐和周末出行；希望同预算下配置和权益更划算,保值率；售后维修成本；保养维修费用,发现；雷克萨斯RX,继续比较,待定,,受访者关注安全性，主要用于城市通勤；同时对保值率仍有疑问，决策中会对比发现；雷克萨斯RX。,先围绕城市通勤场景切入，再把安全性转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S065-05,大众,途锐,途锐,50.88-79.38万,60-70万,传统燃料,SUV,中大型,6座,湖北省,2026-08-25,41-45岁,女,企业高管/企业主,80-100万,已婚一孩,3人,是,是,家中已有燃油车,增购,家中已有燃油车,50-80万,已试驾,2个月以上,家庭共同决策,父母；车主评价；配偶,空间升级；品牌升级；家庭品质升级,城市通勤；多成员家庭出行；长途自驾,懂车帝/汽车之家口碑；品牌直营店/4S店,是,价格权益；家庭适配；豪华感/质感,希望兼顾家人乘坐和周末出行；希望同预算下配置和权益更划算,价格是否值得；高端服务体验,雷克萨斯RX；奥迪A7,已下订,是,,受访者关注价格权益，主要用于城市通勤；同时对价格是否值得仍有疑问，决策中会对比雷克萨斯RX；奥迪A7。,先围绕城市通勤场景切入，再把价格权益转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S065-06,大众,途锐,途锐,50.88-79.38万,60-70万,传统燃料,SUV,中大型,6座,山东省,2026-06-17,36-40岁,不便透露,私营业主/个体经营者,80-100万,三代同堂,5人及以上,是,是,BBA/传统豪华车,换购,BBA/传统豪华车,50-80万,已试驾,1-2个月,本人+配偶,配偶；父母,家庭出行升级；家庭品质升级,周末短途；多成员家庭出行；城市通勤,朋友/同事推荐；品牌直营店/4S店,是,保值率；乘坐舒适；空间舒适,希望兼顾家人乘坐和周末出行,保养维修费用；保值率,奥迪A7；奥迪Q7；坦克700新能源,倾向本品,待定,,受访者关注保值率，主要用于周末短途；同时对保养维修费用仍有疑问，决策中会对比奥迪A7；奥迪Q7；坦克700新能源。,先围绕周末短途场景切入，再把保值率转化为可感知体验；对保养维修费用需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S065-07,大众,途锐,途锐,50.88-79.38万,60-70万,传统燃料,SUV,中大型,6座,江苏省,2026-08-03,31-35岁,男,企业高管/企业主,50-80万,已婚一孩,2人,是,是,无车,首购,无车,50-80万,对比评估,2周-1个月,家庭共同决策,车主评价；子女；KOL/博主,家庭品质升级；家庭出行升级；品牌升级,长途自驾；多成员家庭出行；家庭出行,小红书/抖音内容；车主群/社群讨论；懂车帝/汽车之家口碑,是,售后服务；价格权益；安全性,希望同预算下配置和权益更划算,停车便利性；保养维修费用；车身尺寸是否好开,奥迪Q7；坦克700新能源,倾向本品,待定,,受访者关注售后服务，主要用于长途自驾；同时对停车便利性仍有疑问，决策中会对比奥迪Q7；坦克700新能源。,先围绕长途自驾场景切入，再把售后服务转化为可感知体验；对停车便利性需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S065-08,大众,途锐,途锐,50.88-79.38万,60-70万,传统燃料,SUV,中大型,6座,陕西省,2026-06-21,41-45岁,男,私营业主/个体经营者,80-100万,已婚一孩,3人,是,否,无车,首购,无车,50-80万,已试驾,1-2个月,家庭共同决策,子女；父母；配偶,通勤代步；品牌升级；商务接待,家庭出行；接送孩子,品牌直营店/4S店；懂车帝/汽车之家口碑；朋友/同事推荐,是,第三排/多人乘坐；保值率；豪华感/质感；品牌认知,在意品牌形象和商务/社交场景认可度,售后维修成本；第三排舒适性,坦克700新能源；发现,价格合适会买,待定,,受访者关注第三排/多人乘坐，主要用于家庭出行；同时对售后维修成本仍有疑问，决策中会对比坦克700新能源；发现。,先围绕家庭出行场景切入，再把第三排/多人乘坐转化为可感知体验；对售后维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
